,Causa_Direta,Natureza,Interrupcao (h),Hora
332,Interferência de Terceiro,Abalroamento,1.5,12
333,Interferência de Terceiro,Atropelamento,4.5,7
334,Interferência de Terceiro,Abalroamento,0.4,12
335,Interferência de Terceiro,Atropelamento,0.8,13
336,Interferência de Terceiro,Abalroamento,1.0,21
337,Interferência de Terceiro,Atropelamento,0.8,14
338,Interferência de Terceiro,Abalroamento,0.0,19
339,Via Permanente,Descarrilamento,6.0,20
340,Interferência de Terceiro,Abalroamento,1.5,9
341,Interferência de Terceiro,Abalroamento,1.0,10
342,Interferência de Terceiro,Abalroamento,1.1,11
343,Interferência de Terceiro,Abalroamento,0.2,17
344,Via Permanente,Descarrilamento,10.5,7
345,Via Permanente,Descarrilamento,12.3,7
346,Material Rodante,Descarrilamento,20.1,14
347,Interferência de Terceiro,Abalroamento,0.0,15
348,Interferência de Terceiro,Abalroamento,5.3,17
349,Interferência de Terceiro,Abalroamento,0.2,19
350,Interferência de Terceiro,Abalroamento,0.5,11
351,Interferência de Terceiro,Abalroamento,0.0,17
352,Interferência de Terceiro,Abalroamento,0.1,21
353,Interferência de Terceiro,Atropelamento,1.6,15
354,Interferência de Terceiro,Abalroamento,0.2,19
355,Via Permanente,Descarrilamento,7.0,6
356,Interferência de Terceiro,Atropelamento,0.0,9
357,Interferência de Terceiro,Atropelamento,0.4,11
358,Casos Fortuitos ou de Força Maior,Atropelamento,0.0,5
359,Interferência de Terceiro,Abalroamento,0.1,19
360,Via Permanente,Descarrilamento,36.6,4
361,Via Permanente,Descarrilamento,13.2,12
362,Interferência de Terceiro,Atropelamento,0.8,22
363,Interferência de Terceiro,Abalroamento,1.1,23
364,Interferência de Terceiro,Incêndio,0.0,15
365,Via Permanente,Descarrilamento,8.3,13
366,Interferência de Terceiro,Abalroamento,1.0,18
367,Interferência de Terceiro,Atropelamento,0.2,10
368,Via Permanente,Descarrilamento,18.0,13
369,Material Rodante,Descarrilamento,4.0,21
370,Interferência de Terceiro,Atropelamento,1.1,2
371,Interferência de Terceiro,Abalroamento,0.0,9
372,Via Permanente,Descarrilamento,8.1,13
373,Interferência de Terceiro,Abalroamento,1.0,22
374,Interferência de Terceiro,Abalroamento,1.3,16
375,Interferência de Terceiro,Abalroamento,2.0,21
376,Via Permanente,Descarrilamento,19.4,22
377,Interferência de Terceiro,Descarrilamento,10.1,6
378,Interferência de Terceiro,Abalroamento,0.8,8
379,Via Permanente,Descarrilamento,0.0,1
380,Via Permanente,Descarrilamento,22.4,3
381,Via Permanente,Descarrilamento,9.0,16
382,Via Permanente,Descarrilamento,11.0,13
383,Interferência de Terceiro,Atropelamento,0.2,16
384,Interferência de Terceiro,Abalroamento,1.9,20
385,Interferência de Terceiro,Abalroamento,0.8,22
386,Interferência de Terceiro,Abalroamento,0.0,7
387,Interferência de Terceiro,Abalroamento,0.0,17
388,Interferência de Terceiro,Abalroamento,0.0,19
389,Interferência de Terceiro,Atropelamento,0.0,1
390,Interferência de Terceiro,Abalroamento,0.3,10
391,Interferência de Terceiro,Abalroamento,2.0,11
392,Via Permanente,Descarrilamento,0.0,11
393,Via Permanente,Descarrilamento,8.0,15
394,Interferência de Terceiro,Abalroamento,0.2,19
395,Interferência de Terceiro,Abalroamento,1.0,5
396,Interferência de Terceiro,Abalroamento,0.0,7
397,Via Permanente,Descarrilamento,10.0,8
398,Interferência de Terceiro,Abalroamento,1.0,10
399,Interferência de Terceiro,Abalroamento,0.8,17
400,Interferência de Terceiro,Atropelamento,1.0,18
401,Interferência de Terceiro,Atropelamento,0.5,0
402,Interferência de Terceiro,Abalroamento,0.5,1
403,Casos Fortuitos ou de Força Maior,Descarrilamento,15.9,6
404,Interferência de Terceiro,Atropelamento,0.7,7
405,Interferência de Terceiro,Abalroamento,1.5,18
